chapter_id,chapter_name,zone,region,chapter_type,account_type,city,state,country,lat,lon,snapshot_date
a0M6g00000W35Ds,LADWP NSBE Professional Chapter,Southern California Zone,Region 6,Professional Chapter,Chapter,Los Angeles,California,United States,36.422681518482484,-119.63135436333674,2026-06-19
a0M6g00000W35NN,Los Angeles Professionals,Southern California Zone,Region 6,Professional Chapter,Chapter,Los Angeles,California,United States,36.097645580739865,-119.84468103583566,2026-06-19
a0M6g00000W35ZR,University of San Diego NSBE,Southern California Zone,Region 6,Collegiate Chapter,Chapter,San Diego,California,United States,35.998301298139786,-119.66709331826992,2026-06-19
a0M6g00000W35a2,Berkeley High School NSBE Jr Chapter,Northern California Zone,Region 6,NSBE Jr. Chapter,Chapter,Berkeley,California,United States,36.07344102221353,-120.01643554408376,2026-06-19
a0M6g00000W36PY,Santa Clara University,Southern California Zone,Region 6,Collegiate Chapter,Chapter,Santa Clara,California,United States,36.34460734693605,-119.40425145971216,2026-06-19
a0M6g00000W36ag,LINKS to STEM of San Diego NSBE Jr.,Southern California Zone,Region 6,NSBE Jr. Chapter,Chapter,San Diego,California,United States,35.864377362299024,-119.64373869952266,2026-06-19
a0MUJ0000012VfU,University of San Francisco Chapter,,Region 6,Collegiate Chapter,Non-Member,San Francisco,California,United States,35.84220601879481,-119.56099593487212,2026-06-19
a0MUJ000001JDsD,Gridstone Inc NSBE Jr Chapter,,Region 6,NSBE Jr. Chapter,Non-Member,Bakersfield,California,United States,35.9630666486873,-119.56996815571566,2026-06-19
a0MUJ000001Plsn,Fresno State Chapter NSBE,,Region 6,Collegiate Chapter,Non-Member,Fresno,California,United States,36.27509923000082,-119.49351075565764,2026-06-19
a0MUJ000001mbKr,Diablo Valley College Chapter,,Region 6,Collegiate Chapter,Non-Member,Hercules,California,United States,35.841621662169125,-119.39035570840367,2026-06-19
a0MUJ000002QlDR,Sponsors of Educational Opportunities - SEO NSBE Jr Chapter,,Region 6,NSBE Jr. Chapter,Non-Member,San Francisco,California,United States,35.92735279362642,-120.00537521067668,2026-06-19
a0MUJ000002bEaj,Butte College NSBE Chapter,,Region 6,Collegiate Chapter,Non-Member,Oroville,California,United States,36.154599728574034,-119.77191840129629,2026-06-19
a0MUJ000005Mryr,"California State University, Bakersfield",,Region 6,Collegiate Chapter,Non-Member,Bakersfield,California,United States,36.347055820192686,-119.46578796955498,2026-06-19
a0MUJ000007JdJN,Fremont High NSBE Jr Chapter,,Region 6,NSBE Jr. Chapter,Non-Member,Oakland,California,United States,35.9882002249759,-119.36453442345118,2026-06-19
a0MUJ000008ohy1,Long Beach City College NSBE Chapter,,Region 6,Collegiate Chapter,Non-Member,Long Beach,California,United States,35.969845486698084,-119.67102400953779,2026-06-19
a0MUJ00000CCsQj,Pacific NSBE Chapter,,Region 6,Collegiate Chapter,Non-Member,Stockton,California,United States,35.94537856339732,-119.37633350096571,2026-06-19
a0M6g00000BqR4X,Colorado State University,Rocky Mountain Zone,Region 6,Collegiate Chapter,Chapter,Fort Collins,Colorado,United States,38.82503647230742,-105.62966656642537,2026-06-19
a0M6g00000BqR5W,University of Colorado-Denver Chapter,Rocky Mountain Zone,Region 6,Collegiate Chapter,Chapter,DENVER,Colorado,United States,39.01437894200213,-104.96644110516091,2026-06-19
a0M6g00000BqR5X,University Of Colorado Boulder,Rocky Mountain Zone,Region 6,Collegiate Chapter,Chapter,Boulder,Colorado,United States,39.33398508637844,-105.13707838638014,2026-06-19
a0M6g00000W35NR,Denver Professionals,Rocky Mountain Zone,Region 6,Professional Chapter,Chapter,DENVER,Colorado,United States,39.33336574361497,-105.0356913522115,2026-06-19
a0MUJ000002w12b,Robert F. Smith STEAM Academy NSBE Jr Chapter,,Region 6,NSBE Jr. Chapter,Non-Member,Denver,Colorado,United States,39.07301185227052,-105.43995366371844,2026-06-19
a0M6g00000BqQzx,University Of Connecticut,New England Zone,Region 1,Collegiate Chapter,Chapter,Mansfield,Connecticut,United States,41.78819070247769,-72.64220811578257,2026-06-19
a0M6g00000BqQzy,University Of Hartford,New England Zone,Region 1,Collegiate Chapter,Chapter,WEST HARTFORD,Connecticut,United States,41.5093424102116,-73.03924433235693,2026-06-19
a0M6g00000W35H2,T.A.P.S. CT Professionals (Formerly known as SNEATP),New England Zone,Region 1,Professional Chapter,Chapter,East Hartford,Connecticut,United States,41.77053472794432,-72.921648638854,2026-06-19
a0M6g00000W35OP,ACCESS Bridgeport NSBE Jr.,New England Zone,Region 1,NSBE Jr. Chapter,Chapter,Bridgeport,Connecticut,United States,41.903551205373645,-72.93669159749602,2026-06-19
a0M6g00000W35Yi,Fairfield University Chapter,New England Zone,Region 1,Collegiate Chapter,Chapter,Fairfield,Connecticut,United States,41.33371255268804,-72.52359212951256,2026-06-19
a0M6g00002M7Inb,Blended Learning Academy for STEM Study (BLASS) NSBE JR. Chapter,,Region 1,NSBE Jr. Chapter,Non-Member,East Hartford,Connecticut,United States,41.35508102163715,-72.97988318428958,2026-06-19
a0M6g00000BqR0q,University of Delaware Chapter,Danger Zone,Region 2,Collegiate Chapter,Chapter,Newark,Delaware,United States,39.38809095406459,-75.24494757141377,2026-06-19
a0M6g00000BqR1I,Delaware State University,Danger Zone,Region 2,Collegiate Chapter,Chapter,DOVER,Delaware,United States,39.1060272660002,-75.63991442896994,2026-06-19
a0M6g00000BqR0c,The Catholic University of America Chapter,Terror Zone,Region 2,Collegiate Chapter,Chapter,Washington,District of Columbia,United States,39.09162138676883,-76.69653850175732,2026-06-19
a0M6g00000BqR0g,George Washington University,Terror Zone,Region 2,Collegiate Chapter,Chapter,Washington,District of Columbia,United States,38.89795683034164,-77.27608874821412,2026-06-19
a0M6g00000BqR0h,Howard University NSBE Chapter,Terror Zone,Region 2,Collegiate Chapter,Chapter,Washington,District of Columbia,United States,38.55719340139574,-77.21605777900079,2026-06-19
a0M6g00000BqR1G,University of the District of Columbia,Terror Zone,Region 2,Collegiate Chapter,Chapter,Washington,District of Columbia,United States,38.639713552450566,-76.902455928471,2026-06-19
a0M6g00000W35HI,NSBE Washington DC Professionals,Terror Zone,Region 2,Professional Chapter,Chapter,WASHINGTON,District of Columbia,United States,38.63272075323997,-77.02238604786555,2026-06-19
a0M6g00000W35N1,Phelps ACE NSBE Jr. Chapter,Terror Zone,Region 2,NSBE Jr. Chapter,Chapter,Washington,District of Columbia,United States,39.03342170495002,-76.97003537354536,2026-06-19
a0M6g00000W35SN,Friendship Collegiate Academy Nsbe Jr.,Terror Zone,Region 2,NSBE Jr. Chapter,Chapter,WASHINGTON,District of Columbia,United States,38.68728095616204,-76.81392983167241,2026-06-19
a0M6g00000W36St,(DMV) Dynamic Mathematical Visionaries NSBE Jr.,Danger Zone,Region 2,NSBE Jr. Chapter,Chapter,Washington,District of Columbia,United States,39.04822299073106,-76.85952819725911,2026-06-19
a0MUJ000005lmBC,Capital City NSBE Jr Chapter,,Region 2,NSBE Jr. Chapter,Non-Member,Washington,District of Columbia,United States,38.63917842609012,-77.29018933744476,2026-06-19
a0MUJ000006HAYz,Paul Laurence Dunbar High School NSBE Jr.,,Region 2,NSBE Jr. Chapter,Non-Member,Washington,District of Columbia,United States,39.19673178570456,-77.09851226432254,2026-06-19
a0MUJ000007DCLt,Richard Wright Schools NSBE Jr.,,Region 2,NSBE Jr. Chapter,Non-Member,Washington,District of Columbia,United States,38.75810208424666,-77.03480816825392,2026-06-19
a0M6g00000BqR1j,Florida Atlantic University,Primary Zone,Region 3,Collegiate Chapter,Chapter,BOCA RATON,Florida,United States,27.88028394893451,-81.36784672006712,2026-06-19
a0M6g00000BqR1k,FAMU-FSU NSBE Chapter,Primary Zone,Region 3,Collegiate Chapter,Chapter,Tallahassee,Florida,United States,27.61679135881744,-81.38941709948159,2026-06-19
a0M6g00000BqR1v,University of Central Florida Chapter,Primary Zone,Region 3,Collegiate Chapter,Chapter,Orlando,Florida,United States,27.43368064397038,-81.64814437037123,2026-06-19
